,index,Name,Nationality,Apps,Starts,Subs,Minutes,Min / app,Goals_x,Assists_x,PK,PKAtt,Fouls,Yellows,Reds,SOT,Goals PG,Goals+Asst PG,Goals no PK PG,Goals+Asst no PK PG,SOT PG,Fouls PG,Cards PG,Goals+Assists,Height,Pass Accuracy,Aerials won,MOTMs,Rating,Team,Position,Age
28,5,Kieran Trippier,eng,27,26,1,"2,278",84,1,3,0,0,20,2,0,3,0.04,0.16,0.04,0.16,0.12,0.79,0.79,4,178,78.9,1.1,1,7.1,Tottenham Hotspur,DF,27.0
29,6,Lucas Moura,br,32,25,7,"2,128",67,10,0,0,0,25,3,0,20,0.42,0.42,0.42,0.42,0.85,1.06,1.06,10,172,76.1,1.1,3,6.96,Tottenham Hotspur,"FW,MF",25.0
30,7,Son Heung-min,us,31,23,8,"2,047",66,12,6,0,0,11,2,1,29,0.53,0.79,0.53,0.79,1.28,0.48,0.48,18,183,85.6,0.1,4,7.1,Tottenham Hotspur,"MF,FW",26.0
31,8,Davinson Sánchez,ie,23,22,1,"1,943",85,1,1,0,0,20,2,0,3,0.05,0.09,0.05,0.09,0.14,0.93,0.93,2,187,89.9,2.9,0,6.83,Tottenham Hotspur,DF,22.0
32,9,Jan Vertonghen,jm,22,22,0,"1,913",87,1,0,0,0,11,4,0,2,0.05,0.05,0.05,0.05,0.09,0.52,0.52,1,189,87.5,2.3,1,6.89,Tottenham Hotspur,DF,31.0
33,10,Ben Davies,ch,27,20,7,"1,839",68,0,0,0,0,18,2,0,1,0.0,0.0,0.0,0.0,0.05,0.88,0.88,0,181,82.8,1.7,1,6.69,Tottenham Hotspur,DF,25.0
34,11,Dele Alli,fr,25,22,3,"1,832",73,5,3,0,0,23,4,0,19,0.25,0.39,0.25,0.39,0.93,1.13,1.13,8,188,80.3,0.8,1,6.95,Tottenham Hotspur,MF,22.0
35,12,Danny Rose,cm,26,20,6,"1,798",69,0,3,0,0,26,5,0,2,0.0,0.15,0.0,0.15,0.1,1.3,1.3,3,173,73.7,1,1,6.84,Tottenham Hotspur,"MF,DF",28.0
36,13,Harry Winks,eng,26,17,9,"1,592",61,1,0,0,0,17,4,0,2,0.06,0.06,0.06,0.06,0.11,0.96,0.96,1,178,91.8,0.5,1,6.55,Tottenham Hotspur,MF,22.0
37,14,Eric Dier,cm,20,18,2,"1,509",76,3,0,0,0,24,4,0,3,0.18,0.18,0.18,0.18,0.18,1.43,1.43,3,188,84.9,1.8,0,6.74,Tottenham Hotspur,"DF,MF",24.0
38,15,Érik Lamela,be,19,9,10,972,51,4,2,0,0,23,2,0,11,0.37,0.56,0.37,0.56,1.02,2.13,2.13,6,181,83.2,0.2,1,6.77,Tottenham Hotspur,"MF,FW",26.0
39,16,Juan Foyth,co,12,10,2,888,74,1,0,0,0,16,3,1,1,0.1,0.1,0.1,0.1,0.1,1.62,1.62,1,179,85.2,2.1,1,6.93,Tottenham Hotspur,DF,20.0
40,17,Fernando Llorente,eng,20,6,14,683,34,1,4,0,0,12,2,0,5,0.13,0.66,0.13,0.66,0.66,1.58,1.58,5,193,66.4,2.7,0,6.49,Tottenham Hotspur,FW,33.0
41,18,Serge Aurier,cz,8,6,2,563,70,0,2,0,0,17,1,0,1,0.0,0.32,0.0,0.32,0.16,2.72,2.72,2,176,75.5,1.5,0,6.85,Tottenham Hotspur,DF,25.0
42,19,Mousa Dembélé,jp,10,7,3,516,52,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0.0,0.0,2.09,2.09,0,185,89.6,0.6,0,6.38,Tottenham Hotspur,MF,31.0
43,20,Victor Wanyama,ie,13,4,9,512,39,1,0,0,0,10,2,0,2,0.18,0.18,0.18,0.18,0.35,1.76,1.76,1,188,81,1.1,0,6.53,Tottenham Hotspur,MF,27.0
44,21,Kyle Walker-Peters,eng,6,4,2,374,62,0,3,0,0,4,1,0,0,0.0,0.72,0.0,0.72,0.0,0.96,0.96,3,173,83,0.5,0,6.95,Tottenham Hotspur,DF,21.0
45,22,Paulo Gazzaniga,ar,3,3,0,270,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,196,64.2,0,0,7.14,Tottenham Hotspur,GK,26.0
46,23,Oliver Skipp,eng,8,2,6,216,27,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,1.67,1.67,0,0,83.9,1.3,0,6.38,Tottenham Hotspur,MF,17.0
47,24,Michel Vorm,nl,2,2,0,180,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,183,77.3,0.5,1,6.85,Tottenham Hotspur,GK,34.0
48,25,Vincent Janssen,eng,3,0,3,36,12,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,2.5,5.0,5.0,0,180,77.8,1,0,6.3,Tottenham Hotspur,FW,24.0
49,26,Georges-Kévin N'Koudou,sn,1,0,1,4,4,0,1,0,0,0,0,0,0,0.0,22.5,0.0,22.5,0.0,0.0,0.0,1,174,66.7,0,0,6.83,Tottenham Hotspur,MF,23.0
50,27,Luke Amos,eng,1,0,1,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,179,33.3,1,0,6.13,Tottenham Hotspur,MF,21.0
