Name,Team,xG,xA,xG90,xA90
Tom Davies,Everton,0.31+0.31,0.59+0.59,0.03,0.05
Jonjoe Kenny,Everton,0.09+0.09,0.84-0.16,0.01,0.10
Davide Zappacosta,Chelsea,0.15+0.15,0.13+0.13,0.12,0.10
Antonio Barreca,Newcastle United,0.00,0.00,0.00,0.00
Wesley Hoedt,Southampton,0.59+0.59,0.02+0.02,0.05,0.00
Emerson,Chelsea,0.27+0.27,0.60+0.60,0.04,0.08
Alisson,Liverpool,0.00,0.00,0.00,0.00
Stephan Lichtsteiner,Arsenal,0.02+0.02,0.09+0.09,0.00,0.01
Adam Masina,Watford,0.05+0.05,0.69-0.31,0.00,0.06
Tom Heaton,Burnley,0.06+0.06,0.04+0.04,0.00,0.00
Matthew Lowton,Burnley,0.83+0.83,0.50+0.50,0.04,0.03
Ben Mee,Burnley,1.15+1.15,1.52-0.48,0.03,0.04
Stephen Ward,Burnley,0.08+0.08,0.05+0.05,0.03,0.02
Steven Defour,Burnley,0.00,0.05+0.05,0.00,0.01
Nathaniel Chalobah,Watford,0.08+0.08,0.22+0.22,0.03,0.08
Dominic Solanke,Bournemouth,0.80+0.80,0.36-0.64,0.22,0.10
Andrew Robertson,Liverpool,0.86+0.86,8.06-2.94,0.02,0.22
Javier Manquillo,Newcastle United,0.08+0.08,0.68-2.32,0.01,0.06
Christian Kabasele,Watford,1.54+1.54,0.18+0.18,0.09,0.01
Alfie Mawson,Fulham,0.32+0.32,0.05+0.05,0.03,0.00
Georges-Kévin Nkoudou,Tottenham,0.00,0.61-0.39,0.00,18.23
Vincent Janssen,Tottenham,0.31+0.31,0.00,0.81,0.00
Eric Bailly,Manchester United,0.25+0.25,0.00,0.04,0.00
Kevin Long,Burnley,0.03+0.03,0.41-0.59,0.01,0.07
Rob Holding,Arsenal,0.12+0.12,0.17+0.17,0.01,0.02
Ben Hamer,Huddersfield,0.00,0.00,0.00,0.00
Arthur Masuaku,West Ham,0.07+0.07,1.02+0.02,0.00,0.05
Stefano Okaka,Watford,0.56+0.56,0.15+0.15,2.78,0.75
Ramadan Sobhi,Huddersfield,0.00,0.18+0.18,0.00,0.23
Nampalys Mendy,Leicester,0.07+0.07,0.22+0.22,0.00,0.01
Lewis Cook,Bournemouth,0.13+0.13,0.06+0.06,0.02,0.01
Martín Montoya,Brighton,0.19+0.19,1.18+0.18,0.01,0.05
Vicente Iborra,Leicester,0.27+0.27,0.10+0.10,0.11,0.04
Sergio Rico,Fulham,0.00,0.08+0.08,0.00,0.00
Vicente Guaita,Crystal Palace,0.00,0.00,0.00,0.00
Mateo Kovacic,Chelsea,2.02+2.02,2.01+0.01,0.10,0.10
Denis Suárez,Arsenal,0.00,0.00,0.00,0.00
Mat Ryan,Brighton,0.00,0.00,0.00,0.00
Fabri,Fulham,0.00,0.00,0.00,0.00
Erik Durm,Huddersfield,0.28+0.28,0.47-0.53,0.01,0.02
Oleksandr Zinchenko,Manchester City,0.21+0.21,1.72-1.28,0.02,0.13
Maxime Le Marchand,Fulham,0.16+0.16,0.81-0.19,0.01,0.03
Benjamin Mendy,Manchester City,0.23+0.23,2.05-2.95,0.02,0.20
Jonas Lössl,Huddersfield,0.00,0.39-0.61,0.00,0.01
Serge Aurier,Tottenham,0.14+0.14,1.26-0.74,0.02,0.20
Lazar Markovic,Fulham,0.00,0.01+0.01,0.00,0.03
Jazz Richards,Cardiff,0.00,0.00,0.00,0.00
Mohamed Diamé,Newcastle United,1.05+1.05,0.13+0.13,0.04,0.01
Sam Gallagher,Southampton,0.00,0.00,0.00,0.00
Bruno Ecuele Manga,Cardiff,1.21+1.21,0.29-0.71,0.03,0.01
Kepa,Chelsea,0.00,0.00,0.00,0.00
Diego Rico,Bournemouth,0.18+0.18,1.22+1.22,0.03,0.18
Florian Lejeune,Newcastle United,0.28+0.28,0.29+0.29,0.02,0.02
Marc Navarro,Watford,0.00,0.00,0.00,0.00
Florent Hadergjonaj,Huddersfield,0.22+0.22,1.38+1.38,0.01,0.07
Bernardo,Brighton,0.35+0.35,0.58-0.42,0.02,0.03
Caglar Söyüncü,Leicester,0.06+0.06,0.00,0.01,0.00
Angus Gunn,Southampton,0.00,0.00,0.00,0.00
Ademola Lookman,Everton,1.57+1.57,1.61-0.39,0.25,0.25
Josh Sims,Southampton,0.77+0.77,0.70-0.30,0.34,0.31
Aaron Wan-Bissaka,Crystal Palace,0.37+0.37,2.29-0.71,0.01,0.07
Angel Gomes,Manchester United,0.11+0.11,0.00,0.42,0.00
Sam Surridge,Bournemouth,0.38+0.38,0.04+0.04,3.79,0.38
Yves Bissouma,Brighton,1.78+1.78,0.99+0.99,0.09,0.05
Adama Diakhaby,Huddersfield,0.87+0.87,0.54+0.54,0.14,0.09
Matteo Guendouzi,Arsenal,0.48+0.48,1.50+1.50,0.02,0.06
Fousseni Diabate,Leicester,0.00,0.08+0.08,0.00,0.12
Tommy Smith,Huddersfield,0.08+0.08,0.39+0.39,0.01,0.03
Chris Löwe,Huddersfield,0.49+0.49,1.78-0.22,0.02,0.08
Collin Quaner,Huddersfield,0.00,0.10+0.10,0.00,0.26
Rajiv van La Parra,Huddersfield,0.24+0.24,0.07+0.07,0.05,0.02
Danny Williams,Huddersfield,0.02+0.02,0.03+0.03,0.01,0.03
Laurent Depoitre,Huddersfield,2.67+2.67,0.46-0.54,0.23,0.04
Joel Coleman,Huddersfield,0.00,0.00,0.00,0.00
Jan Bednarek,Southampton,0.84+0.84,0.62-0.38,0.04,0.03
Charlie Taylor,Burnley,0.11+0.11,1.45+0.45,0.00,0.04
Bruno,Brighton,0.07+0.07,0.59-0.41,0.01,0.05
Ederson,Manchester City,0.00,0.07-0.93,0.00,0.00
Jacob Murphy,Newcastle United,0.03+0.03,0.61-0.39,0.01,0.19
Gaëtan Bong,Brighton,0.07+0.07,0.48+0.48,0.00,0.02
José Izquierdo,Brighton,0.62+0.62,0.47-0.53,0.07,0.05
Abdelhamid Sabiri,Huddersfield,0.00,0.00,0.00,0.00
Jonathan Hogg,Huddersfield,0.26+0.26,0.73-0.27,0.01,0.03
Jack Simpson,Bournemouth,0.37+0.37,0.00,0.08,0.00
Hamza Choudhury,Leicester,0.47+0.47,0.51+0.51,0.07,0.08
Ben Johnson,West Ham,0.00,0.00,0.00,0.00
Franck Zambo,Fulham,0.65+0.65,0.25+0.25,0.04,0.01
Callum Hudson-Odoi,Chelsea,0.99+0.99,1.57+0.57,0.23,0.36
Emerson Hyndman,Bournemouth,0.00,0.00,0.00,0.00
Adrien Silva,Leicester,0.00,0.00,0.00,0.00
Alexander Sørloth,Crystal Palace,0.46+0.46,0.69+0.69,0.26,0.40
Martin Dubravka,Newcastle United,0.00,0.00,0.00,0.00
Joe Willock,Arsenal,0.13+0.13,0.00,0.18,0.00
Grady Diangana,West Ham,0.64+0.64,1.22+0.22,0.10,0.18
Rafael Camacho,Liverpool,0.00,0.00,0.00,0.00
Konstantinos Mavropanos,Arsenal,0.10+0.10,0.57+0.57,0.06,0.34
Luke Amos,Tottenham,0.00,0.00,0.00,0.00
Neil Etheridge,Cardiff,0.00,0.09+0.09,0.00,0.00
Lee Peltier,Cardiff,0.04+0.04,0.07+0.07,0.00,0.00
Joe Ralls,Cardiff,1.37+1.37,3.60+3.60,0.06,0.17
Gary Madine,Cardiff,0.00,0.00,0.00,0.00
Greg Cunningham,Cardiff,0.07+0.07,0.22+0.22,0.01,0.03
Cyrus Christie,Fulham,0.39+0.39,1.20+0.20,0.02,0.06
Joe Bryan,Fulham,0.55+0.55,4.40+3.40,0.02,0.17
Kevin McDonald,Fulham,0.11+0.11,0.10+0.10,0.01,0.01
Stefan Johansen,Fulham,0.04+0.04,0.05+0.05,0.01,0.01
Ibrahima Cissé,Fulham,0.00,0.00,0.00,0.00
Neeskens Kebano,Fulham,0.05+0.05,0.00,0.05,0.00
Alireza Jahanbakhsh,Brighton,0.70+0.70,0.19+0.19,0.06,0.02
David Button,Brighton,0.00,0.00,0.00,0.00
Rui Patrício,Wolverhampton Wanderers,0.00,0.00,0.00,0.00
Conor Coady,Wolverhampton Wanderers,0.00,0.01+0.01,0.00,0.00
Léo Bonatini,Wolverhampton Wanderers,1.55+1.55,0.16-0.84,1.19,0.12
Rúben Vinagre,Wolverhampton Wanderers,0.45+0.45,0.87+0.87,0.06,0.11
Morgan Gibbs-White,Wolverhampton Wanderers,0.99+0.99,1.30+0.30,0.14,0.19
Mohamed Elyounoussi,Southampton,2.21+2.21,1.14+1.14,0.25,0.13
Marcus Bettinelli,Fulham,0.00,0.00,0.00,0.00
Denis Odoi,Fulham,0.72+0.72,0.57-0.43,0.03,0.02
Tim Ream,Fulham,0.02+0.02,0.24+0.24,0.00,0.01
Oliver Skipp,Tottenham,0.06+0.06,0.03+0.03,0.02,0.01
Loïc Damour,Cardiff,0.03+0.03,0.00,0.17,0.00
Ben Wilmot,Watford,0.00,0.00,0.00,0.00
Diogo Dalot,Manchester United,0.72+0.72,2.73+0.73,0.06,0.24
Xande Silva,West Ham,0.07+0.07,0.01+0.01,0.42,0.08
Tyreke Johnson,Southampton,0.00,0.00,0.00,0.00
Bukayo Saka,Arsenal,0.00,0.00,0.00,0.00
Marcus Bettinelli,Fulham,0.00,0.00,0.00,0.00
Denis Odoi,Fulham,0.72+0.72,0.57-0.43,0.03,0.02
Tim Ream,Fulham,0.02+0.02,0.24+0.24,0.00,0.01
Oliver Skipp,Tottenham,0.06+0.06,0.03+0.03,0.02,0.01
Loïc Damour,Cardiff,0.03+0.03,0.00,0.17,0.00
Ben Wilmot,Watford,0.00,0.00,0.00,0.00
Diogo Dalot,Manchester United,0.72+0.72,2.73+0.73,0.06,0.24
Xande Silva,West Ham,0.07+0.07,0.01+0.01,0.42,0.08
Tyreke Johnson,Southampton,0.00,0.00,0.00,0.00
Bukayo Saka,Arsenal,0.00,0.00,0.00,0.00
